1;"The Bullet Bar ";"United States";"Los Angeles";90001;"California"
2;"1933 Pontius Ave ";"United States";"Los Angeles";90001;"California"
3;"Meea's ";"United States";"Los Angeles";90001;"California"
4;"Aliso Apartments - Dog Park (Enter by Boxx Coffee) ";"United States";"Los Angeles";90001;"California"
5;"Old World Huntington Beach ";"United States";"Los Angeles";90001;"California"
6;"Pan Pacific Park ";"United States";"Los Angeles";90001;"California"
7;"Bella Terra ";"United States";"Los Angeles";90001;"California"
8;"Full Circle Brewery District ";"United States";"Palos Verdes Peninsula";90274;"California"
9;"Linda Mar Beacha ";"United States";"Palos Verdes Peninsula";90274;"California"
10;"Otay Ranch Town Center ";"United States";"Palos Verdes Peninsula";90274;"California"
11;"Mayes Oyster House ";"United States";"Palos Verdes Peninsula";90274;"California"
12;"University of Beer - Sacramento ";"United States";"Palos Verdes Peninsula";90274;"California"
13;"University of Beer - Vacaville, CA ";"United States";"Palos Verdes Peninsula";90274;"California"
14;"University of Beer - Roseville ";"United States";"Palos Verdes Peninsula";90274;"California"
15;"Little Marina Green Fitness Area ";"United States";"Palos Verdes Peninsula";90274;"California"
16;"University of Beer - Rocklin, CA ";"United States";"Palos Verdes Peninsula";90274;"California"
17;"Tijeras Creek Golf Club ";"United States";"Buena Park";90620;"California"
18;"The Dog Pawrk Brewing Company ";"United States";"Buena Park";90620;"California"
19;"The Smell ";"United States";"La Palma";90623;"California"
20;"208-4776 Eget Rd.";"United States";"San Francisco";94565;"California"
21;"272-4521 A, Rd.";"United States";"San Francisco";94565;"California"
22;"188-6992 Magnis St.";"United States";"San Francisco";94565;"California"
23;"200 Nulla Rd.";"United States";"San Francisco";94565;"California"
24;"525-2728 Donec St.";"United States";"San Francisco";94565;"California"
25;"Ap #237-2302 Lorem Street";"United States";"San Francisco";94565;"California"
26;"878-5107 Sollicitudin Street";"United States";"San Francisco";94565;"California"
27;"P.O. Box 702, 6229 Tellus Ave";"United States";"San Francisco";94565;"California"
28;"P.O. Box 896, 2382 Pede. Street";"United States";"San Francisco";94565;"California"
29;"P.O. Box 650, 6349 Per Av.";"United States";"San Francisco";94565;"California"
30;"849-4891 Lobortis Road";"United States";"San Francisco";94565;"California"
31;"Ap #612-181 Laoreet, Avenue";"United States";"San Francisco";94565;"California"
32;"3532 Dolor St.";"United States";"San Francisco";94565;"California"
33;"8819 Volutpat. Road";"United States";"San Francisco";94565;"California"
34;"870 Adipiscing Avenue";"United States";"San Francisco";94565;"California"
35;"3039 A Street";"United States";"San Francisco";94565;"California"
36;"586-8795 Nisl St.";"United States";"San Francisco";94565;"California"
37;"787-558 Ipsum. St.";"United States";"San Francisco";94565;"California"
38;"Ap #482-4229 Nonummy. Ave";"United States";"San Francisco";94565;"California"
39;"Ap #839-8871 Commodo Av.";"United States";"San Francisco";94565;"California"
40;"5559 Felis St.";"United States";"San Francisco";94565;"California"
41;"Ap #583-939 A St.";"United States";"San Francisco";94565;"California"
42;"P.O. Box 472, 872 Turpis. Rd.";"United States";"San Francisco";94565;"California"
43;"618-1097 Dui, Ave";"United States";"Dallas";75070;"Texas"
44;"Ap #947-7667 Nec, Rd.";"United States";"Dallas";75070;"Texas"
45;"788-6235 Sapien, Road";"United States";"Dallas";75070;"Texas"
46;"439-359 Mauris Road";"United States";"Dallas";75070;"Texas"
47;"991-573 Nisl. Rd.";"United States";"Dallas";75070;"Texas"
48;"163-2866 Id Avenue";"United States";"Dallas";75070;"Texas"
49;"3764 Mollis. Ave";"United States";"Dallas";75070;"Texas"
50;"P.O. Box 805, 8233 Id, St.";"United States";"Dallas";75070;"Texas"
51;"Ap #505-456 Suspendisse Av.";"United States";"Dallas";75070;"Texas"
52;"1733 Venenatis Av.";"United States";"Dallas";75070;"Texas"
53;"Ap #434-2496 Magna. St.";"United States";"Dallas";75070;"Texas"
54;"Ap #482-3815 Laoreet Rd.";"United States";"New York City";11207;"New York"
55;"Ap #563-1906 Justo Street";"United States";"New York City";11207;"New York"
56;"P.O. Box 541, 3107 Magna Road";"United States";"New York City";11207;"New York"
57;"850-8939 Vitae, Rd.";"United States";"New York City";11207;"New York"
58;"177-5137 Interdum Avenue";"United States";"New York City";11207;"New York"
59;"P.O. Box 117, 2285 Semper Rd.";"United States";"New York City";11207;"New York"
60;"Ap #262-8147 Cursus Avenue";"United States";"New York City";11207;"New York"
61;"944-7899 Sodales. Road";"United States";"New York City";11207;"New York"
62;"761-3224 Dictum. Rd.";"United States";"New York City";11207;"New York"
63;"9809 In, Street";"United States";"New York City";11207;"New York"
64;"787-9331 Nec Av.";"United States";"New York City";11207;"New York"
65;"P.O. Box 503, 9478 Fusce Av.";"United States";"Chicago";60632;"Illinois"
66;"504-6490 Ornare. Rd.";"United States";"Atlanta";30044;"Georgia"
67;"339-1008 Mauris Road";"United States";"Atlanta";30044;"Georgia"
68;"P.O. Box 372, 7838 Bibendum Rd.";"United States";"Atlanta";30044;"Georgia"
69;"415-1568 Lectus Rd.";"United States";"Atlanta";30044;"Georgia"
70;"P.O. Box 233, 8706 Ante, Road";"United States";"Atlanta";30044;"Georgia"
71;"P.O. Box 572, 8666 Erat Street";"United States";"Atlanta";30044;"Georgia"
72;"313-7859 Nunc St.";"United States";"Atlanta";30044;"Georgia"
73;"673-5550 Id St.";"United States";"Atlanta";30044;"Georgia"
74;"P.O. Box 201, 6693 Ac Rd.";"United States";"Atlanta";30044;"Georgia"
75;"Ap #851-6467 Adipiscing Ave";"United States";"Atlanta";30044;"Georgia"
76;"438-8863 Sit Rd.";"United States";"Riverside";90623;"California"
77;"948-7369 Eu Ave";"United States";"Riverside";90623;"California"
78;"P.O. Box 444, 1400 Ut, Street";"United States";"Riverside";90623;"California"
79;"477-5199 Eu Rd.";"United States";"Riverside";90623;"California"
80;"3990 Phasellus Av.";"United States";"Riverside";90623;"California"
81;"3216 Eu Rd.";"United States";"Riverside";90623;"California"
82;"477-535 Augue Av.";"United States";"Riverside";90623;"California"
83;"486-3727 Vel, Rd.";"United States";"Riverside";90623;"California"
84;"Ap #166-6895 Enim St.";"United States";"Riverside";90623;"California"
85;"2693 Massa. St.";"United States";"Riverside";90623;"California"
86;"P.O. Box 286, 4583 Elementum Av.";"United States";"Riverside";90623;"California"
87;"Ap #776-9372 Pharetra Av.";"United States";"Santa Rosa";95401;"California"
88;"Ap #268-8887 Ac Rd.";"United States";"Santa Rosa";95401;"California"
89;"P.O. Box 351, 426 Sem. Rd.";"United States";"Santa Rosa";95401;"California"
90;"Ap #443-4614 Purus Rd.";"United States";"Santa Rosa";95401;"California"
91;"P.O. Box 813, 5377 Gravida. Av.";"United States";"Santa Rosa";95401;"California"
92;"Ap #679-2450 Diam Road";"United States";"Santa Rosa";95401;"California"
93;"5828 Dis Av.";"United States";"Las Vegas";88901;"Nevada"
94;"P.O. Box 178, 9043 Gravida. Rd.";"United States";"Las Vegas";88901;"Nevada"
95;"P.O. Box 909, 9852 Elementum Road";"United States";"Las Vegas";88901;"Nevada"
96;"Ap #592-3850 Scelerisque Rd.";"United States";"Las Vegas";88901;"Nevada"
97;"468-7333 Eu Ave";"United States";"Las Vegas";88901;"Nevada"
98;"392-8282 Curabitur St.";"United States";"Las Vegas";88901;"Nevada"
99;"Ap #519-9943 Mollis Avenue";"United States";"Santa Barbara";93101;"California"
100;"113-6329 Id Rd.";"United States";"Santa Barbara";93101;"California"
101;"Ap #410-4116 Sit St.";"United States";"Santa Barbara";93101;"California"
102;"381-9102 Rutrum. Av.";"United States";"Santa Barbara";93101;"California"
103;"Ap #236-5434 Nunc Rd.";"United States";"Santa Barbara";93101;"California"
104;"6250 Ornare, Av.";"United States";"Santa Barbara";93101;"California"
105;"9962 A, Ave";"United States";"Santa Barbara";93101;"California"
106;"628-6145 Tellus. Road";"United States";"Santa Barbara";93101;"California"
107;"Ap #271-1884 Phasellus Rd.";"United States";"Santa Barbara";93101;"California"
108;"450-6351 Euismod Street";"United States";"Santa Barbara";93101;"California"
109;"Ap #615-6720 Semper. Street";"United States";"Santa Barbara";93101;"California"
110;"Ap #189-2848 Vitae Avenue";"United States";"Tampa";33592;"Florida"
111;"Ap #944-8954 Nec Rd.";"United States";"Tampa";33592;"Florida"
112;"Ap #228-1092 Libero Avenue";"United States";"Tampa";33592;"Florida"
113;"9694 Dictum St.";"United States";"Tampa";33592;"Florida"
114;"898-8522 Est, Road";"United States";"Tampa";33592;"Florida"
115;"9275 Velit St.";"United States";"Tampa";33592;"Florida"
116;"Ap #229-9345 Cras Street";"United States";"Tampa";33592;"Florida"
117;"1420 Orci, St.";"United States";"Tampa";33592;"Florida"
118;"8889 Aliquet Rd.";"United States";"Tampa";33592;"Florida"
119;"Ap #294-8133 Odio St.";"United States";"Tampa";33592;"Florida"
